game_id,game_order,event,site,date_played,round,white,black,result,white_elo,black_elo,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,date_created,file_name
ede83735-84e3-4061-9c63-fde3d3055ee1,86,Open,Ubeda ESP,2001.01.29,9,"Dominguez,L","Nakamura,H",1/2-1/2,2565,2364,draw,,draw,,0,B92,2022-07-15T18:12:55+0000,Nakamura.pgn
a12d9a54-7d39-451f-a5aa-4c9b3eba6129,87,Open,Ubeda ESP,2001.01.30,10,"Nakamura,H","Comas Fabrego,L",1/2-1/2,2364,2508,draw,,draw,,0,B47,2022-07-15T18:12:55+0000,Nakamura.pgn
e8aaaf56-aa02-41b5-b84e-02d75b5c74b6,88,US-China Summit,Seattle USA,2001.03.15,2,Ni Hua,"Nakamura,H",1-0,2534,2364,Ni Hua,2534,"Nakamura,H",2364,170,B80,2022-07-15T18:12:55+0000,Nakamura.pgn
71b9448d-b745-4a3b-9c1f-956f4998b90b,89,US-China Summit,Seattle USA,2001.03.18,4,Ni Hua,"Nakamura,H",1-0,2534,2364,Ni Hua,2534,"Nakamura,H",2364,170,B22,2022-07-15T18:12:55+0000,Nakamura.pgn
1b8f9d7b-167d-475e-b96b-ffcc8e1f3ac9,90,Open,Bled SLO,2001.03.24,1,"Grilc,A","Nakamura,H",0-1,2044,2364,"Nakamura,H",2364,"Grilc,A",2044,320,B87,2022-07-15T18:12:55+0000,Nakamura.pgn
798b7d41-ed02-49a1-a97d-569af0a51e91,91,Open,Bled SLO,2001.03.25,2,"Nakamura,H","Laco,G",1-0,2364,2183,"Nakamura,H",2364,"Laco,G",2183,181,B43,2022-07-15T18:12:55+0000,Nakamura.pgn
fd81b98e-52fa-4cd8-9a42-1fc4c0dc6586,92,Open,Bled SLO,2001.03.26,3,"Kozul,Z","Nakamura,H",1-0,2594,2364,"Kozul,Z",2594,"Nakamura,H",2364,230,D97,2022-07-15T18:12:55+0000,Nakamura.pgn
8a12f02a-9e34-44ad-a186-fce23a344dba,93,Open,Bled SLO,2001.03.27,4,"Nakamura,H","Hanko,P",1-0,2364,2234,"Nakamura,H",2364,"Hanko,P",2234,130,B82,2022-07-15T18:12:55+0000,Nakamura.pgn
3b8ba7dc-4eaa-469d-b2e1-2816a383057d,94,Open,Bled SLO,2001.03.28,5,"Nakamura,H","Jovan,R",1-0,2364,2125,"Nakamura,H",2364,"Jovan,R",2125,239,C42,2022-07-15T18:12:55+0000,Nakamura.pgn
5e2b37ee-2479-4ac7-9366-b3da8c3b20ba,95,Open,Bled SLO,2001.03.29,6,"Sveshnikov,E","Nakamura,H",1-0,2561,2364,"Sveshnikov,E",2561,"Nakamura,H",2364,197,B21,2022-07-15T18:12:55+0000,Nakamura.pgn
